Mon May 22 14:18:50 2017,689567_Cover_B_Black.tif
Mon May 22 14:18:58 2017,689567_Cover_B_Cyan.tif
Mon May 22 14:19:06 2017,689567_Cover_B_Magenta.tif
Mon May 22 14:19:15 2017,689567_Cover_B_Yellow.tif
Mon May 22 14:18:16 2017,689567_Cover_F_Black.tif
Mon May 22 14:18:25 2017,689567_Cover_F_Cyan.tif
Mon May 22 14:18:34 2017,689567_Cover_F_Magenta.tif
Mon May 22 14:18:43 2017,689567_Cover_F_Yellow.tif
Mon May 22 14:24:13 2017,690589_8up letterhead + 1up second sheet_F_Black.tif
Mon May 22 14:24:22 2017,690589_8up letterhead + 1up second sheet_F_PANTONE 1375 C.tif
Mon May 22 14:24:17 2017,690589_8up letterhead + 1up second sheet_F_PANTONE 485 CV.tif
Mon May 22 15:01:42 2017,690618_6F+6B on same Sheet_F_Black.tif
Mon May 22 15:01:46 2017,690618_6F+6B on same Sheet_F_Cyan.tif
Mon May 22 15:01:50 2017,690618_6F+6B on same Sheet_F_Magenta.tif
Mon May 22 15:01:59 2017,690618_6F+6B on same Sheet_F_PANTONE 214 C 2.tif
Mon May 22 15:02:03 2017,690618_6F+6B on same Sheet_F_PANTONE 368 C 2.tif
Mon May 22 15:01:55 2017,690618_6F+6B on same Sheet_F_Yellow.tif
Mon May 22 15:15:39 2017,690444_10up same_B_Black.tif
Mon May 22 15:15:43 2017,690444_10up same_B_Cyan.tif
Mon May 22 15:15:47 2017,690444_10up same_B_Magenta.tif
Mon May 22 15:15:52 2017,690444_10up same_B_Yellow.tif
Mon May 22 15:15:17 2017,690444_10up same_F_Black.tif
Mon May 22 15:15:21 2017,690444_10up same_F_Cyan.tif
Mon May 22 15:15:26 2017,690444_10up same_F_Magenta.tif
Mon May 22 15:15:34 2017,690444_10up same_F_PANTONE 368 C.tif
Mon May 22 15:15:30 2017,690444_10up same_F_Yellow.tif
Mon May 22 15:30:56 2017,690613_4up same_F_Black.tif
Mon May 22 15:31:00 2017,690613_4up same_F_Cyan.tif
Mon May 22 15:31:05 2017,690613_4up same_F_Magenta.tif
Mon May 22 15:31:14 2017,690613_4up same_F_PANTONE 214 C.tif
Mon May 22 15:31:19 2017,690613_4up same_F_PANTONE 368 C.tif
Mon May 22 15:31:10 2017,690613_4up same_F_Yellow.tif
Mon May 22 20:50:56 2017,690612_4up same_F_Black.tif
Mon May 22 20:51:00 2017,690612_4up same_F_Cyan.tif
Mon May 22 20:51:05 2017,690612_4up same_F_Magenta.tif
Mon May 22 20:51:15 2017,690612_4up same_F_PANTONE 214 C.tif
Mon May 22 20:51:19 2017,690612_4up same_F_PANTONE 368 C.tif
Mon May 22 20:51:10 2017,690612_4up same_F_Yellow.tif
Mon May 22 21:21:12 2017,690614_6up same_F_Black.tif
Mon May 22 21:21:17 2017,690614_6up same_F_Cyan.tif
Mon May 22 21:21:22 2017,690614_6up same_F_Magenta.tif
Mon May 22 21:21:35 2017,690614_6up same_F_PANTONE 214 C.tif
Mon May 22 21:21:31 2017,690614_6up same_F_PANTONE 368 C.tif
Mon May 22 21:21:27 2017,690614_6up same_F_Yellow.tif
Mon May 22 21:42:23 2017,690616_6up same_F_Black.tif
Mon May 22 21:42:28 2017,690616_6up same_F_Cyan.tif
Mon May 22 21:42:33 2017,690616_6up same_F_Magenta.tif
Mon May 22 21:42:46 2017,690616_6up same_F_PANTONE 214 C.tif
Mon May 22 21:42:42 2017,690616_6up same_F_PANTONE 368 C.tif
Mon May 22 21:42:37 2017,690616_6up same_F_Yellow.tif
Tue May 23 07:03:26 2017,687387 Diwali WT_10up same Booklet_B_Black.tif
Tue May 23 07:03:34 2017,687387 Diwali WT_10up same Booklet_B_Cyan.tif
Tue May 23 07:03:41 2017,687387 Diwali WT_10up same Booklet_B_Magenta.tif
Tue May 23 07:03:46 2017,687387 Diwali WT_10up same Booklet_B_Yellow.tif
Tue May 23 07:02:43 2017,687387 Diwali WT_10up same Booklet_F_Black.tif
Tue May 23 07:02:49 2017,687387 Diwali WT_10up same Booklet_F_Cyan.tif
Tue May 23 07:02:55 2017,687387 Diwali WT_10up same Booklet_F_Magenta.tif
Tue May 23 07:03:09 2017,687387 Diwali WT_10up same Booklet_F_PANTONE 200 C.tif
Tue May 23 07:03:13 2017,687387 Diwali WT_10up same Booklet_F_Tag.tif
Tue May 23 07:03:03 2017,687387 Diwali WT_10up same Booklet_F_Yellow.tif
Tue May 23 07:04:00 2017,687387 Diwali WT_18up same SS_F_Black.tif
